"PERIODO";"MES";"PAIS_DESTINO";"ARANCEL";"FOB_ITEM_US$";"PESO_BRUTO_KG";"CANTIDAD_MERCANCIA";"UNIDAD_MEDIDA"
"2016";"03";"ALBANIA";"41015000";35835,00;19432,00;18972,00;"KN"
"2016";"03";"ALEMANIA";"03031320";580542,01;187397,72;173403,00;"KN"
"2016";"03";"ALEMANIA";"07123920";178100,00;12180,00;12000,00;"KN"
"2016";"03";"ALEMANIA";"08083020";23052,37;25636,80;23755,20;"KN"
"2016";"03";"ALEMANIA";"00250100";1708160,57;0,00;0,00;"KN"
"2016";"03";"ALEMANIA";"12119082";103667,78;37958,50;37825,00;"KN"
"2016";"03";"ALEMANIA";"08061099";92482,25;59292,50;49857,50;"KN"
"2016";"03";"ALEMANIA";"22042991";1552343,09;2531921,26;2533030,00;"LT"
"2016";"03";"ALEMANIA";"03031310";2070969,46;592506,00;543412,56;"KN"
"2016";"03";"ALEMANIA";"90268000";132,06;5,00;1,00;"U"
"2016";"03";"ALEMANIA";"28369100";1001131,49;242910,00;236300,00;"KN"
"2016";"03";"ALEMANIA";"08094019";111439,01;110534,40;93880,00;"KN"
"2016";"03";"ALEMANIA";"85269100";10000,00;2,30;4,00;"U"
"2016";"03";"ALEMANIA";"38089299";40042,51;9700,00;9000,00;"KN"
"2016";"03";"ALEMANIA";"85118000";10372,11;87,00;21,00;"U"
"2016";"03";"ALEMANIA";"28100020";27928,00;50200,00;50000,00;"KN"
"2016";"03";"ALEMANIA";"84834090";7057,78;1393,88;1,00;"U"
"2016";"03";"ALEMANIA";"02043000";91311,93;18888,60;18633,24;"KN"
"2016";"03";"ALEMANIA";"15159090";9212,33;1690,00;1520,00;"KN"
"2016";"03";"ALEMANIA";"08119040";23362,40;19425,00;18500,00;"KN"
"2016";"03";"ALEMANIA";"85158000";25486,91;1008,00;4,00;"U"
"2016";"03";"ALEMANIA";"70139900";2392,34;34,50;26,53;"KN"
