"PERIODO";"MES";"PAIS_DESTINO";"ARANCEL";"FOB_ITEM_US$";"PESO_BRUTO_KG";"CANTIDAD_MERCANCIA";"UNIDAD_MEDIDA"
"2016";"02";"ALBANIA";"41015000";31455,00;18999,00;18499,00;"KN"
"2016";"02";"ALEMANIA";"85049000";1035,86;5,40;4,15;"KN"
"2016";"02";"ALEMANIA";"84099930";7069,74;54,16;41,35;"KN"
"2016";"02";"ALEMANIA";"00259900";184466,96;0,00;0,00;"KN"
"2016";"02";"ALEMANIA";"86090000";39056,40;33590,00;10,00;"U"
"2016";"02";"ALEMANIA";"82079000";110798,78;6769,50;3202,50;"KN"
"2016";"02";"ALEMANIA";"22042163";171159,00;65308,45;37687,50;"LT"
"2016";"02";"ALEMANIA";"08062090";7876,62;4184,00;4000,00;"KN"
"2016";"02";"ALEMANIA";"28273930";114397,51;19494,00;19000,00;"KN"
"2016";"02";"ALEMANIA";"03031410";70930,60;23848,00;21680,00;"KN"
"2016";"02";"ALEMANIA";"63061200";3116,88;416,75;385,00;"KN"
"2016";"02";"ALEMANIA";"02044220";99233,42;15687,22;14798,50;"KN"
"2016";"02";"ALEMANIA";"84717090";1750,01;7,52;5,00;"U"
"2016";"02";"ALEMANIA";"90183990";28960,46;1429,20;1153,20;"U"
"2016";"02";"ALEMANIA";"90223000";157006,58;769,49;5,00;"U"
"2016";"02";"ALEMANIA";"84831020";200,00;50,00;2,00;"U"
"2016";"02";"ALEMANIA";"12119099";27693,00;7767,00;7675,00;"KN"
"2016";"02";"ALEMANIA";"94039090";19635,79;9702,00;7463,08;"KN"
"2016";"02";"ALEMANIA";"44079990";1192,87;3071,55;2,63;"MCUB"
"2016";"02";"ALEMANIA";"84713000";9823,09;92,60;3,00;"U"
"2016";"02";"ALEMANIA";"84254200";24650,97;129,33;5,00;"U"
"2016";"02";"ALEMANIA";"90261090";5446,66;101,89;92,00;"U"
"2016";"02";"ALEMANIA";"73079900";5816,07;118,36;99,46;"KN"
