"PERIODO";"MES";"PAIS_DESTINO";"ARANCEL";"FOB_ITEM_US$";"PESO_BRUTO_KG";"CANTIDAD_MERCANCIA";"UNIDAD_MEDIDA"
"2016";"01";"ALEMANIA";"85043100";7055,63;36,66;1,00;"U"
"2016";"01";"ALEMANIA";"03048200";65427,22;12815,00;11650,00;"KN"
"2016";"01";"ALEMANIA";"84717090";1359,62;5,83;7,00;"U"
"2016";"01";"ALEMANIA";"85049000";9708,65;55,43;42,63;"KN"
"2016";"01";"ALEMANIA";"84798990";5284,46;350,00;3,00;"U"
"2016";"01";"ALEMANIA";"76169990";2017,53;88,67;84,50;"KN"
"2016";"01";"ALEMANIA";"07123910";161698,00;12239,00;11940,00;"KN"
"2016";"01";"ALEMANIA";"12093090";491898,32;197,52;151,33;"KN"
"2016";"01";"ALEMANIA";"85444200";5963,32;79,33;71,89;"KN"
"2016";"01";"ALEMANIA";"85351010";65,00;0,47;0,36;"KN"
"2016";"01";"ALEMANIA";"85011000";5056,67;36,70;1,00;"U"
"2016";"01";"ALEMANIA";"82055100";94,60;14,94;8,08;"KN"
"2016";"01";"ALEMANIA";"84123100";2160,00;660,00;1,00;"U"
"2016";"01";"ALEMANIA";"71041000";204,40;14,85;14,70;"KN"
"2016";"01";"ALEMANIA";"90318000";6728,13;12,40;1,00;"U"
"2016";"01";"ALEMANIA";"22042168";711152,24;440282,25;254898,00;"LT"
"2016";"01";"ALEMANIA";"22042142";114141,63;49455,75;28885,50;"LT"
"2016";"01";"ALEMANIA";"02032930";617084,42;176999,43;162737,89;"KN"
"2016";"01";"ALEMANIA";"90189090";80021,97;474,33;12,00;"U"
"2016";"01";"ALEMANIA";"61099021";1087,00;32,74;258,00;"U"
"2016";"01";"ALEMANIA";"02071411";2935579,88;1156327,11;1092919,16;"KN"
"2016";"01";"ALEMANIA";"84312000";21232,28;154,10;118,53;"KN"
"2016";"01";"ALEMANIA";"94016130";25000,00;3200,00;153,00;"U"
"2016";"01";"ALEMANIA";"07108049";59674,00;23320,00;22000,00;"KN"
"2016";"01";"ALEMANIA";"28112200";310,00;22,51;22,29;"KN"
"2016";"01";"ALEMANIA";"23012013";1016889,60;554700,00;554700,00;"KN"
"2016";"01";"ALEMANIA";"22042141";251999,90;111455,85;64165,50;"LT"
"2016";"01";"ALEMANIA";"08062010";221335,93;119397,00;114000,00;"KN"
"2016";"01";"ALEMANIA";"90251900";1095,38;3,80;1,00;"U"
"2016";"01";"ALEMANIA";"72162200";532,00;2500,00;1923,00;"KN"
"2016";"01";"ALEMANIA";"08132090";1117835,40;382487,96;361820,00;"KN"
"2016";"01";"ALEMANIA";"44219090";8253,43;636,00;580,00;"KN"
"2016";"01";"ALEMANIA";"83022000";156,16;0,63;0,48;"KN"
"2016";"01";"ALEMANIA";"08083090";52545,00;62475,00;54990,00;"KN"
"2016";"01";"ALEMANIA";"85389000";2653,01;10,69;8,22;"KN"
"2016";"01";"ALEMANIA";"07123110";169001,00;12180,00;12000,00;"KN"
"2016";"01";"ALEMANIA";"44152010";184,39;504,00;28,00;"U"
"2016";"01";"ALEMANIA";"73102990";3920,00;43200,00;43200,00;"KN"
"2016";"01";"ALEMANIA";"15161011";484087,68;32984,00;30400,00;"KN"
"2016";"01";"ALEMANIA";"03031410";67221,47;22627,00;20683,50;"KN"
"2016";"01";"ALEMANIA";"82041200";2808,35;23,06;17,73;"KN"
"2016";"01";"ALEMANIA";"84779000";17629,29;774,79;738,34;"KN"
"2016";"01";"ALEMANIA";"85044000";1477,99;3,63;4,00;"U"
"2016";"01";"ALEMANIA";"83071000";3638,19;18,90;14,53;"KN"
"2016";"01";"ALEMANIA";"84715000";15096,42;103,98;2,00;"U"
"2016";"01";"ALEMANIA";"85030090";3556,43;18,48;14,53;"KN"
